Protein_ID,Localizations,Signals,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome
AO090003000935-T,Cytoplasm,,0.5943999886512756,0.12300000339746475,0.03359999880194664,0.510699987411499,0.1039000004529953,0.005100000184029341,0.1307000070810318,0.2134000062942505,0.09560000151395798,9.999999747378752e-05
AO090023000944-T,Cytoplasm,,0.6220999956130981,0.16189999878406525,0.014600000344216824,0.4717999994754791,0.15029999613761902,0.0015999999595806003,0.20190000534057617,0.2743000090122223,0.15309999883174896,9.999999747378752e-05
AO090003001591-T,Cytoplasm,,0.6225000023841858,0.16169999539852142,0.014700000174343586,0.47110000252723694,0.14949999749660492,0.0015999999595806003,0.2013999968767166,0.27459999918937683,0.15289999544620514,9.999999747378752e-05
AO090005001300-T,Cytoplasm,,0.6599000096321106,0.14159999787807465,0.030300000682473183,0.4242999851703644,0.15309999883174896,0.00279999990016222,0.14350000023841858,0.24950000643730164,0.12290000170469284,9.999999747378752e-05
AO090010000746-T,Cytoplasm,,0.6013000011444092,0.1875,0.01679999940097332,0.5112000107765198,0.14319999516010284,0.0017999999690800905,0.19210000336170197,0.25850000977516174,0.1396999955177307,9.999999747378752e-05
AO090026000003-T,Cytoplasm,,0.6407999992370605,0.15410000085830688,0.015200000256299973,0.4343999922275543,0.1282999962568283,0.0015999999595806003,0.15569999814033508,0.259799987077713,0.13410000503063202,9.999999747378752e-05
AO090023000837-T,Cytoplasm,,0.6305000185966492,0.1023000031709671,0.04100000113248825,0.48539999127388,0.17000000178813934,0.002899999963119626,0.17949999868869781,0.34380000829696655,0.149399995803833,0.00019999999494757503
AO090005001090-T,Cytoplasm,,0.5482000112533569,0.1737000048160553,0.017500000074505806,0.4844000041484833,0.1509999930858612,0.0012000000569969416,0.13979999721050262,0.24889999628067017,0.10760000348091125,9.999999747378752e-05
AO090003001036-T,Cytoplasm,,0.6098999977111816,0.15209999680519104,0.020099999383091927,0.43689998984336853,0.11630000174045563,0.002199999988079071,0.14949999749660492,0.24709999561309814,0.11789999902248383,9.999999747378752e-05
AO090003000346-T,Cytoplasm,,0.630299985408783,0.14920000731945038,0.019899999722838402,0.4860000014305115,0.13930000364780426,0.0017999999690800905,0.1687999963760376,0.21649999916553497,0.1526000052690506,9.999999747378752e-05
AO090012000995-T,Cytoplasm,,0.6622999906539917,0.13650000095367432,0.03700000047683716,0.49059998989105225,0.15479999780654907,0.00279999990016222,0.13339999318122864,0.22540000081062317,0.0940999984741211,9.999999747378752e-05
AO090023000645-T,Cytoplasm,,0.6258000135421753,0.15850000083446503,0.019099999219179153,0.45969998836517334,0.1559000015258789,0.001500000013038516,0.16439999639987946,0.26170000433921814,0.14790000021457672,9.999999747378752e-05
AO090003000055-T,Cytoplasm,,0.6352999806404114,0.1404999941587448,0.03200000151991844,0.4099000096321106,0.1340000033378601,0.0017000000225380063,0.14910000562667847,0.2605000138282776,0.11620000004768372,9.999999747378752e-05
AO090001000635-T,Cytoplasm,,0.623199999332428,0.14980000257492065,0.02590000070631504,0.4555000066757202,0.16120000183582306,0.001500000013038516,0.17990000545978546,0.26030001044273376,0.11729999631643295,9.999999747378752e-05
AO090001000406-T,Cytoplasm,,0.6151999831199646,0.16459999978542328,0.012900000438094139,0.44940000772476196,0.1273999959230423,0.002099999925121665,0.13369999825954437,0.2671000063419342,0.12950000166893005,9.999999747378752e-05
AO090102000092-T,Cytoplasm,,0.6029000282287598,0.13940000534057617,0.02879999950528145,0.4684999883174896,0.12520000338554382,0.0017000000225380063,0.18050000071525574,0.23880000412464142,0.13179999589920044,9.999999747378752e-05
AO090038000279-T,Cytoplasm,,0.6122000217437744,0.1412999927997589,0.021800000220537186,0.40950000286102295,0.14100000262260437,0.00279999990016222,0.17630000412464142,0.2770000100135803,0.12380000203847885,0.00019999999494757503
AO090011000659-T,Cytoplasm,,0.6065999865531921,0.1657000035047531,0.017799999564886093,0.43070000410079956,0.11890000104904175,0.0017000000225380063,0.164000004529953,0.24770000576972961,0.12359999865293503,0.0
AO090166000084-T,Cytoplasm,,0.6360999941825867,0.13420000672340393,0.037700001150369644,0.4544999897480011,0.16580000519752502,0.002400000113993883,0.16210000216960907,0.26089999079704285,0.11630000174045563,0.00019999999494757503
AO090005000189-T,Cytoplasm,,0.6169999837875366,0.156700000166893,0.030799999833106995,0.41589999198913574,0.1460999995470047,0.002099999925121665,0.15889999270439148,0.25360000133514404,0.12489999830722809,9.999999747378752e-05
AO090009000219-T,Cytoplasm,,0.6202999949455261,0.16140000522136688,0.019200000911951065,0.498199999332428,0.15119999647140503,0.0017000000225380063,0.15449999272823334,0.24580000340938568,0.13410000503063202,9.999999747378752e-05
AO090023000804-T,Cytoplasm,,0.6639999747276306,0.13680000603199005,0.03180000185966492,0.40149998664855957,0.12330000102519989,0.003100000089034438,0.14880000054836273,0.2272000014781952,0.1290999948978424,9.999999747378752e-05
AO090011000046-T,Cytoplasm,,0.626800000667572,0.1460999995470047,0.02930000051856041,0.4828000068664551,0.17430000007152557,0.0024999999441206455,0.1446000039577484,0.2425999939441681,0.12020000070333481,0.00019999999494757503
AO090020000521-T,Cytoplasm,,0.5849999785423279,0.1266999989748001,0.05719999969005585,0.39160001277923584,0.12200000137090683,0.002400000113993883,0.12559999525547028,0.15209999680519104,0.11800000071525574,0.0003000000142492354
AO090011000119-T,Cytoplasm,,0.6011000275611877,0.15060000121593475,0.01590000092983246,0.40700000524520874,0.10429999977350235,0.00139999995008111,0.11050000041723251,0.25189998745918274,0.08529999852180481,9.999999747378752e-05
