Position,Relative importance,Scaled importance,Percentage
1,4.516202449798584,1.0,0.17491711021452566
3,2.841487407684326,0.6291762690600933,0.1100536947995484
13,2.0543034076690674,0.45487407407094566,0.07956525854799792
8,2.0215020179748535,0.44761102728355534,0.0782948273925947
4,1.8789273500442505,0.41604143546046035,0.07277276562024682
11,1.8113943338394165,0.401087939253078,0.07015714327604762
6,1.607952356338501,0.3560408051260442,0.062277628751100725
15,1.3180971145629883,0.2918596163955789,0.051051240688234654
10,1.051038146018982,0.23272609182209197,0.04070777545304068
7,0.8489290475845337,0.18797409040473698,0.03287988468880059
22,0.7695688009262085,0.17040175002795327,0.029806181690387557
23,0.7150447368621826,0.1583287606812384,0.027694409282209436
19,0.6077364683151245,0.13456803034643158,0.02353825099545841
2,0.5763975977897644,0.12762882182473262,0.022324464693666814
20,0.5482452511787415,0.12139518927084245,0.021234095701201154
17,0.5307043194770813,0.11751118896380519,0.020554717591421863
21,0.5237477421760559,0.11597082903123936,0.020285282283327207
12,0.3742637038230896,0.0828713300573541,0.014495613573266541
16,0.3298693597316742,0.07304131366971511,0.0127761755133793
5,0.22986362874507904,0.05089754750815713,0.008902851927133377
26,0.22159013152122498,0.04906558861884227,0.008582410972182609
18,0.2041681408882141,0.04520792483457417,0.007907639570859203
9,0.0793377012014389,0.0175673482496289,0.003072829789957293
14,0.06896518170833588,0.015270613413579727,0.002671091569506539
24,0.04245661199092865,0.009400954111971255,0.0016443877265253741
27,0.04123757779598236,0.00913102949975626,0.001597173293380951
25,0.005705652758479118,0.0012633740010334529,0.00022098572938093473
28,0.00036427302984520793,8.065914535373719e-05,1.4108664617649092e-05
